Player,Position,NFL Team,Pre-Season Rank,Actual Rank,Rostered %,Bye,Roster Status,Yahoo Player ID
Heinrich Haarberg,TE,Car,2227,2227,0%,5,FA,43449
Layne Pryor,TE,Hou,2228,2228,0%,8,FA,42612
Teagan Quitoriano,TE,Ari,2229,2229,0%,14,FA,34126
Princeton Fant,TE,Dal,2230,2230,0%,14,FA,40778
JJ Galbreath,TE,Ind,2231,2231,0%,13,FA,42275
Quentin Moore,TE,Was,2232,2232,0%,7,FA,43206
Jeremiah Franklin,TE,Mia,2233,2233,0%,6,FA,43463
J. Michael Gyllenborg,TE,KC,2234,2234,0%,5,FA,43116
Moliki Matavao,TE,NO,2235,2235,0%,8,FA,42006
Jermaine Terry,TE,Cle,2236,2236,0%,11,FA,42446
Sean McKeon,TE,Ind,2237,2237,0%,13,FA,33101
Jelani Woods,TE,NYJ,2238,2238,0%,13,FA,34029
Tanner McLachlan,TE,SF,2239,2239,0%,8,FA,41066
Rohan Jones,TE,LAR,2240,2240,0%,11,FA,43139
Cody Hardy,TE,NO,2241,2241,0%,8,FA,43161
Cole Turner,TE,Mia,2242,2242,0%,6,FA,34105
Jack Velling,TE,Atl,2243,2243,0%,11,FA,43178
Lawrence Cager,TE,Was,2244,2244,0%,7,FA,33329
Gavin Bartholomew,TE,Min,2245,2245,0%,6,FA,41994
Mark Redman,TE,GB,2246,2246,0%,11,FA,42323
Ethan Conner,TE,Mia,2247,2247,0%,6,FA,42965
Stephen Carlson,TE,Chi,2248,2248,0%,10,FA,32273
Caleb Lohner,TE,Den,2249,2249,0%,10,FA,42027
Dae'Quan Wright,TE,Cle,2250,2250,0%,11,FA,42885
Jalin Conyers,TE,Mia,2251,2251,0%,6,FA,42167
Mason Pline,TE,KC,2252,2252,0%,5,FA,41368
Joe Royer,TE,Cle,2253,2253,0%,11,FA,42772
Will Kacmarek,TE,Mia,2254,2254,0%,6,FA,42709
Seydou Traore,TE,Mia,2255,2255,0%,6,FA,42790
Brevin Jordan,TE,Hou,2256,2256,0%,8,FA,33535
Thomas Yassmin,TE,GB,2257,2257,0%,11,FA,41397
Bryce Pierre,TE,Car,2258,2258,0%,5,FA,42274
Ko Kieft,TE,TB,2259,2259,0%,10,FA,34174
Tyler Moore,TE,Ind,2260,2260,0%,13,FA,43464
Donald Parham Jr.,TE,Pit,2261,2261,0%,9,FA,32456
Shane Zylstra,TE,NE,2262,2262,0%,11,FA,33803
Qadir Ismail,TE,Chi,2263,2263,0%,10,FA,41562
David Sills V,WR,TB,2264,2264,0%,10,FA,32418
Marcus Mariota,QB,Was,2265,2265,0%,7,FA,28390
Jeremy Ruckert,TE,NYJ,2266,2266,0%,13,FA,34057
Grant Calcaterra,TE,Phi,2267,2267,0%,10,FA,34154
Kenny Yeboah,TE,Ari,2268,2268,0%,14,FA,33705
Ian Thomas,TE,LV,2269,2269,0%,13,FA,31071
Isaiah Hodgins,WR,NYG,2270,2270,0%,8,FA,32877
Josh Whyle,TE,GB,2271,2271,0%,11,FA,40182
Chris Manhertz,TE,NYG,2272,2272,0%,8,FA,28365
Elijah Moore,WR,Phi,2273,2273,0%,10,FA,33422
Mo Alie-Cox,TE,Ind,2274,2274,0%,13,FA,30112
Ben Sims,TE,Mia,2275,2275,0%,6,FA,40335
David Moore,WR,Car,2276,2276,0%,5,FA,30339
Foster Moreau,TE,Hou,2277,2277,0%,8,FA,31969
Cam Grandy,TE,Min,2278,2278,0%,6,FA,41353
Jackson Meeks,"WR,TE",Det,2279,2279,0%,6,FA,42238
Justin Shorter,"WR,TE",LV,2280,2280,0%,13,FA,40167
Drew Sample,TE,Cin,2281,2281,0%,6,FA,31884
Zay Jones,WR,Hou,2282,2282,0%,8,FA,30150
Chris Moore,WR,Bal,2283,2283,0%,13,FA,29341
Nate Adkins,TE,Den,2284,2284,0%,10,FA,40702
Pharaoh Brown,TE,Ind,2285,2285,0%,13,FA,30627
Curtis Samuel,WR,Buf,2286,2286,0%,7,FA,30153
Jaheim Bell,TE,Pit,2287,2287,0%,9,FA,41106
Jaleel McLaughlin,RB,Cle,2288,2288,0%,11,FA,40696
Will Mallory,TE,Ind,2289,2289,0%,13,FA,40180
Cade Stover,TE,Hou,2290,2290,0%,8,FA,40987
Ainias Smith,WR,Car,2291,2291,0%,5,FA,41030
Jaret Patterson,RB,LAC,2292,2292,0%,7,FA,33706
Ray-Ray McCloud III,WR,Chi,2293,2293,0%,10,FA,31157
Anthony Firkser,TE,Det,2294,2294,0%,6,FA,30571
Sincere McCormick,RB,SF,2295,2295,0%,8,FA,34551
Malik Heath,WR,Atl,2296,2296,0%,11,FA,40445
John Bates,TE,Was,2297,2297,0%,7,FA,33512
Xavier Restrepo,WR,Ten,2298,2298,0%,9,FA,42368
Jeremiah Webb,WR,NE,2299,2299,0%,11,FA,42437
Vinny Anthony II,WR,Atl,2300,2300,0%,11,FA,42996
Trayvon Rudolph,WR,Min,2301,2301,0%,6,FA,43439
Courtney Jackson,WR,Ten,2302,2302,0%,9,FA,42071
Montrell Washington,WR,NYG,2303,2303,0%,8,FA,34118
A.T. Perry,WR,Den,2304,2304,0%,10,FA,40242
Juwann Winfree,WR,Hou,2305,2305,0%,8,FA,32019
Cortez Braham Jr.,WR,Bal,2306,2306,0%,13,FA,43181
Wesley Grimes,WR,SF,2307,2307,0%,8,FA,42970
Dohnte Meyers,WR,Cin,2308,2308,0%,6,FA,42616
Kevin Coleman Jr.,WR,Mia,2309,2309,0%,6,FA,42768
Shaleak Knotts,WR,Min,2310,2310,0%,6,FA,42917
Josh Kelly,WR,Hou,2311,2311,0%,8,FA,42150
Squirrel White,WR,Chi,2312,2312,0%,10,FA,43349
Jacob De Jesus,WR,KC,2313,2313,0%,5,FA,43258
Kendrick Law,WR,Det,2314,2314,0%,6,FA,42798
Tyren Montgomery,WR,Ten,2315,2315,0%,9,FA,42896
Luke Wysong,WR,Min,2316,2316,0%,6,FA,42938
Jakobie Keeney-James,WR,Pit,2317,2317,0%,9,FA,42246
Hank Beatty,WR,Ten,2318,2318,0%,9,FA,43094
Trebor Pena,WR,Jax,2319,2319,0%,7,FA,42951
Junior Bergen,WR,NYJ,2320,2320,0%,13,FA,42032
Jalen Virgil,WR,Ari,2321,2321,0%,14,FA,34579
Tay Martin,WR,Det,2322,2322,0%,6,FA,34319
Corey Rucker,WR,LV,2323,2323,0%,13,FA,43248
Stephen Gosnell,WR,Buf,2324,2324,0%,7,FA,42062
Camden Brown,WR,Dal,2325,2325,0%,14,FA,43059
Kyron Hudson,WR,Chi,2326,2326,0%,10,FA,43432
JP Richardson,WR,Chi,2327,2327,0%,10,FA,42047
Tommy Thomas,WR,Den,2328,2328,0%,10,FA,43408
Dane Key,WR,Den,2329,2329,0%,10,FA,43188
Cole Burgess,WR,Pit,2330,2330,0%,9,FA,41502
Tejhaun Palmer,WR,NE,2331,2331,0%,11,FA,41079
Liam Clifford,WR,LAC,2332,2332,0%,7,FA,43465
Nick DeGennaro,WR,NE,2333,2333,0%,11,FA,43363
Xavier Guillory,WR,Bal,2334,2334,0%,13,FA,42340
Xavier Johnson,WR,Cin,2335,2335,0%,6,FA,41274
Mekhi Mews,WR,NO,2336,2336,0%,8,FA,43166
Gary Jennings,WR,LAC,2337,2337,0%,7,FA,31952
Andrew Armstrong,WR,KC,2338,2338,0%,5,FA,42162
Elijah Cooks,WR,Car,2339,2339,0%,5,FA,40374
Mac Dalena,WR,Buf,2340,2340,0%,7,FA,42107
Jimmy Holiday,WR,KC,2341,2341,0%,5,FA,42490
Ja'seem Reed,WR,Car,2342,2342,0%,5,FA,42497
Brandon Hayes,WR,Phi,2343,2343,0%,10,FA,43451
Trent Taylor,WR,SF,2344,2344,0%,8,FA,30290
Cornell Powell,WR,Pit,2345,2345,0%,9,FA,33569
Samori Toure,WR,Phi,2346,2346,0%,10,FA,34214
Maurice Alexander,WR,Chi,2347,2347,0%,10,FA,34712
E.J. Williams Jr.,WR,LV,2348,2348,0%,13,FA,43129
John Rhys Plumlee,WR,Pit,2349,2349,0%,9,FA,41135
Raylen Sharpe,WR,Ind,2350,2350,0%,13,FA,43102
Jeff Caldwell,WR,KC,2351,2351,0%,5,FA,42880
Jonathan Brady,WR,LV,2352,2352,0%,13,FA,43287
Nick Nash,WR,Was,2353,2353,0%,7,FA,42185
Jacoby Jones,WR,Was,2354,2354,0%,7,FA,42436
Colton Dowell,WR,SF,2355,2355,0%,8,FA,40263
Jared Wayne,WR,Hou,2356,2356,0%,8,FA,40288
Jalen Moreno-Cropper,WR,NO,2357,2357,0%,8,FA,40774
Michael Briscoe,WR,Min,2358,2358,0%,6,FA,43242
Gabriel Benyard,WR,Car,2359,2359,0%,5,FA,43333
Kolbe Katsis,WR,Den,2360,2360,0%,10,FA,43382
Mario Williams,WR,LAR,2361,2361,0%,11,FA,42326
Jimmy Kibble,WR,NE,2362,2362,0%,11,FA,43368
Jaden Bradley,WR,Was,2363,2363,0%,7,FA,43092
Kyre Duplessis,WR,Den,2364,2364,0%,10,FA,43458
Michael Wortham,WR,Jax,2365,2365,0%,7,FA,42950
Hal Presley III,WR,KC,2366,2366,0%,5,FA,42060
Quentin Skinner,WR,Buf,2367,2367,0%,7,FA,42223
Lewis Bond,WR,Hou,2368,2368,0%,8,FA,42826
DT Sheffield,WR,NYJ,2369,2369,0%,13,FA,43158
Jalen Royals,WR,KC,2370,2370,0%,5,FA,41891
Brady Boyd,WR,Jax,2371,2371,0%,7,FA,42959
Malik Turner,WR,SF,2372,2372,0%,8,FA,31777
Quez Watkins,WR,Phi,2373,2373,0%,10,FA,32870
Max Tomczak,WR,Buf,2374,2374,0%,7,FA,43015
Terrill Davis,WR,Min,2375,2375,0%,6,FA,43442
Devonte Ross,WR,LAC,2376,2376,0%,7,FA,42930
Caullin Lacy,WR,NYJ,2377,2377,0%,13,FA,43165
Dontae Fleming,WR,Min,2378,2378,0%,6,FA,42255
Chandler Brayboy,WR,Jax,2379,2379,0%,7,FA,42210
Malik Rutherford,WR,Atl,2380,2380,0%,11,FA,42998
Roc Taylor,WR,Car,2381,2381,0%,5,FA,42279
Daniel Sobkowicz,WR,Hou,2382,2382,0%,8,FA,43195
Mante Morrow,WR,LAC,2383,2383,0%,7,FA,43441
Cameron Dorner,WR,NE,2384,2384,0%,11,FA,43364
Brennan Presley,WR,LAR,2385,2385,0%,11,FA,42322
Will Sheppard,WR,Mia,2386,2386,0%,6,FA,42089
Sincere Brown,WR,LAC,2387,2387,0%,7,FA,42925
Brandon Johnson,WR,Pit,2388,2388,0%,9,FA,34571
Kisean Johnson,WR,GB,2389,2389,0%,11,FA,42475
Jeshaun Jones,WR,Min,2390,2390,0%,6,FA,41205
Joseph Manjack,WR,Den,2391,2391,0%,10,FA,43076
Aaron Anderson,WR,Cle,2392,2392,0%,11,FA,43052
Kyrese Rowan,WR,Den,2393,2393,0%,10,FA,42527
Marcus Burke,WR,Ten,2394,2394,0%,9,FA,42975
Tyrone Broden,WR,Sea,2395,2395,0%,11,FA,42351
Octavian Smith Jr.,WR,Bal,2396,2396,0%,13,FA,43180
Eli Pancol,WR,Ind,2397,2397,0%,13,FA,42217
Luke Floriea,WR,Cle,2398,2398,0%,11,FA,42507
Omari Kelly,WR,Chi,2399,2399,0%,10,FA,43346
Coleman Owen,WR,Ind,2400,2400,0%,13,FA,42130
Levi Wentz,WR,Pit,2401,2401,0%,9,FA,43241
Jamaal Pritchett,WR,NYJ,2402,2402,0%,13,FA,42233
Barion Brown,WR,NO,2403,2403,1%,8,FA,42812
